"iso25010awareness";"maintsatisfaction";"maintsymptoms[1]";"maintsymptoms[2]";"maintsymptoms[3]";"maintsymptoms[4]";"maintsymptoms[5]";"maintsymptoms[6]";"maintsymptoms[7]";"maintsymptoms[8]";"maintsymptoms[9]";"maintsymptoms[10]";"maintsymptoms[11]";"maintsymptoms[12]";"maintsymptoms[13]";"maintsymptoms[other]";"maintsubqas[1]";"maintsubqas[2]";"maintsubqas[3]";"maintsubqas[4]";"maintsubqas[5]";"mainthandling";"mainttools";"maintmetrics";"maintsbsdiff";"maintsbsdiffdetails";"maintsbsdiffreason";"swquality";"productivity";"mainttimeestimation";"role";"years";"appliedtech[SQ001]";"appliedtech[SQ002]";"appliedtech[SQ003]";"appliedtech[SQ004]";"appliedtech[SQ005]";"appliedtech[SQ006]";"employees";"companysector";"companysector[other]";"teamsize"
"I did not hear about it before.";"No, not really";"No";"Yes";"Yes";"Yes";"Yes";"No";"Yes";"No";"No";"Yes";"Yes";"No";"No";"0";"No";"No";"Yes";"No";"Yes";"We explicitly address maintainability in a non-systematic fashion via e.g. tool support and metrics, a quality model, and/or a medium degree of team-wide standardization.";"-";"-";"Yes, to some degree";"-";"";"Yes";"No, not really";"A lot more";"Software Engineer / Developer";"11-20";"Yes";"Yes";"Yes";"Yes";"No";"No";">10000";"Software & IT Services";"";">50"
"I did not hear about it before.";"Yes";"No";"No";"No";"No";"No";"No";"No";"No";"Yes";"No";"No";"No";"No";"0";"No";"No";"No";"No";"Yes";"We explicitly address maintainability in a non-systematic fashion via e.g. tool support and metrics, a quality model, and/or a medium degree of team-wide standardization.";"None";"None";"No";"";"We do not know. We never thought about changing something.";"Yes, somewhat";"Yes, somewhat";"Somewhat less";"Software Architect / Technical Designer";">20";"No";"No";"No";"Yes";"No";"No";">10000";"Software & IT Services";"";"1-5"
"I did not hear about it before.";"No, not really";"Yes";"No";"Yes";"Yes";"No";"Yes";"Yes";"Yes";"No";"Yes";"Yes";"Yes";"No";"0";"Yes";"No";"No";"No";"Yes";"We explicitly address maintainability by enforcing a structured process, tool support, and a high degree of team-wide standardization.";"SonarQube, FindBugs";"Test coverage, code complexity";"Yes, to some degree";"Low dependencies involved and simpler process with service-based system";"";"Yes, somewhat";"Yes, somewhat";"Somewhat more";"Project Manager";"11-20";"No";"Yes";"No";"Yes";"Yes";"No";">10000";"Software & IT Services";"";"6-10"
"I did not hear about it before.";"No, not really";"No";"Yes";"No";"Yes";"No";"No";"Yes";"No";"No";"No";"Yes";"Yes";"No";"0";"No";"Yes";"Yes";"No";"No";"We do not address maintainability at all.";"";"";"No";"";"We do not know. We never thought about changing something.";"";"";"Somewhat less";"Software Engineer / Developer";"11-20";"No";"Yes";"No";"Yes";"No";"No";"5001-10000";"Software & IT Services";"";"11-20"
"I heard about it, but am not really familiar with its details.";"No, not really";"No";"Yes";"No";"No";"No";"No";"Yes";"No";"No";"No";"No";"Yes";"No";"0";"Yes";"No";"No";"Yes";"No";"We explicitly address maintainability in a non-systematic fashion via e.g. tool support and metrics, a quality model, and/or a medium degree of team-wide standardization.";"";"";"No";"";"We do not know. We never thought about changing something.";"Yes, somewhat";"No, not really";"Somewhat more";"Software Engineer / Developer";">20";"Yes";"Yes";"Yes";"Yes";"Yes";"No";">10000";"Software & IT Services";"";"11-20"
"I heard about it, but am not really familiar with its details.";"Yes, somewhat";"No";"No";"No";"Yes";"No";"No";"No";"No";"No";"No";"No";"No";"No";"0";"No";"Yes";"No";"No";"Yes";"We explicitly address maintainability in a non-systematic fashion via e.g. tool support and metrics, a quality model, and/or a medium degree of team-wide standardization.";"Svn";"Quality metrics";"Yes, to some degree";"Nothing as such";"";"Yes, somewhat";"Yes, somewhat";"Exactly the same";"People Manager / Team Lead";"11-20";"No";"No";"No";"Yes";"No";"No";">10000";"Telecommunication";"";"6-10"
"I heard about it, but am not really familiar with its details.";"Yes";"No";"No";"No";"Yes";"Yes";"No";"Yes";"Yes";"No";"Yes";"Yes";"Yes";"No";"0";"Yes";"No";"No";"Yes";"No";"We explicitly address maintainability by enforcing a structured process, tool support, and a high degree of team-wide standardization.";"SonarQube, Jenkins";"Test Coverage, Sonar Reports, Cyclomatic Complexity, ";"Yes, to some degree";"We use more integration component testing. The micro services are designed not just doing test driven development (TDD) but also using Behavior Driven Development (BDD) using JBehave for example.";"";"Yes, very much";"No, not really";"Somewhat more";"Software Architect / Technical Designer";"6-10";"Yes";"Yes";"No";"Yes";"Yes";"No";">10000";"Software & IT Services";"";"6-10"
"I did not hear about it before.";"No, not really";"No";"Yes";"Yes";"Yes";"No";"No";"Yes";"Yes";"No";"Yes";"Yes";"No";"No";"0";"No";"No";"Yes";"No";"No";"We somewhat implicitly address maintainability via e.g. basic refactoring and/or some team-wide standardization.";"SonarQube, FindBugs";"cyclomatic complexity, test coverage";"No";"";"We do not know. We never thought about changing something.";"Yes";"Yes, somewhat";"Somewhat more";"Software Engineer / Developer";">20";"Yes";"Yes";"Yes";"Yes";"Yes";"No";"101-1000";"Software & IT Services";"";"6-10"
"I did not hear about it before.";"No, not at all";"No";"No";"No";"Yes";"No";"Yes";"Yes";"Yes";"No";"Yes";"Yes";"Yes";"No";"0";"Yes";"No";"No";"Yes";"No";"We somewhat implicitly address maintainability via e.g. basic refactoring and/or some team-wide standardization.";"SonarQube, FindBugs, CheckStyle, PMD";"test coverage, cyclomatic complexity";"Yes, significantly";"micro services are new code, thus no legacy stuff to worry about. From scratch things can be done finally the right way";"";"Yes";"No, not really";"Exactly the same";"Software Engineer / Developer";"6-10";"Yes";"Yes";"Yes";"Yes";"Yes";"No";"101-1000";"Software & IT Services";"";"1-5"
"I did not hear about it before.";"No, not really";"No";"Yes";"No";"No";"No";"Yes";"Yes";"No";"No";"No";"No";"No";"No";"Several areas are not covered, since the corresponding experts left the team";"No";"Yes";"No";"Yes";"No";"We do not address maintainability at all.";"";"";"No";"";"We do not know. We never thought about changing something.";"";"";"Somewhat more";"Software Engineer / Developer";">20";"No";"Yes";"No";"Yes";"No";"No";">10000";"Software & IT Services";"";"11-20"
"I heard about it, but am not really familiar with its details.";"Yes";"Yes";"No";"No";"Yes";"No";"No";"Yes";"No";"No";"No";"No";"No";"No";"0";"No";"No";"Yes";"No";"Yes";"We explicitly address maintainability by enforcing a structured process, tool support, and a high degree of team-wide standardization.";"SonarQube

";"";"Yes, to some degree";"- dedicated reference architecture for all developed services that focuses among other things on a clear separation of concerns between business logic and framework/technology-specific code 
-mdsd approaches for infrastructure code";"";"Yes, somewhat";"No, not really";"Somewhat more";"Software Architect / Technical Designer";"11-20";"Yes";"Yes";"Yes";"Yes";"Yes";"No";"101-1000";"Finance & Insurance";"";"6-10"

